tipo,numero,precio_noche,capacidad,baño_privado,balcon
simple,101,20000,1,no,no
simple,102,20000,1,no,no
simple,103,25000,1,si,no
simple,104,25000,1,si,no
simple,105,25000,1,si,no
doble,106,30000,2,no,no
doble,107,40000,2,si,no
doble,108,40000,2,si,no
doble,109,60000,2,si,si
familiar,110,80000,4,si,no
familiar,111,80000,4,si,no
familiar,112,100000,4,si,si
familiar,113,100000,4,si,si
suite,114,150000,5,si,si
suite,115,150000,5,si,si
simple,201,20000,1,no,no
simple,202,20000,1,no,no
simple,203,25000,1,si,no
simple,204,25000,1,si,no
simple,205,25000,1,si,no
doble,206,30000,2,no,no
doble,207,40000,2,si,no
doble,208,40000,2,si,no
doble,209,60000,2,si,si
familiar,210,80000,4,si,no
familiar,211,80000,4,si,no
familiar,212,100000,4,si,si
familiar,213,100000,4,si,si
suite,214,150000,5,si,si
suite,215,150000,5,si,si
simple,301,20000,1,no,no
simple,302,20000,1,no,no
simple,303,25000,1,si,no
simple,304,25000,1,si,no
simple,305,25000,1,si,no
doble,306,30000,2,no,no
doble,307,40000,2,si,no
doble,308,40000,2,si,no
doble,309,60000,2,si,si
familiar,310,80000,4,si,no
familiar,311,80000,4,si,no
familiar,312,100000,4,si,si
familiar,313,100000,4,si,si
suite,314,150000,5,si,si
suite,315,150000,5,si,si
